Affymetrix Probeset	HUGO
10560481	Fosb
10361091	Atf3
10361089	Fam71a
10572461	Gm16486
10372503	Lgr5
10541410	Mug1
10449284	Dusp1
10608480	LOC100039147
10364950	Gadd45b
10454782	Egr1
10474141	Slc1a2
10420596	Tnfrsf19
10584582	Gm10694
10397346	Fos
10546001	Gkn3
10514466	Jun
10474972	Chac1
10393449	Socs3
10458828	Cdo1
10375313	Ccnjl
10563338	Ppp1r15a
10400483	Slc25a21
10450369	Hspa1a
10441902	Smoc2
10561453	Zfp36
10382228	Axin2
10407126	Plk2
10507671	Guca2a
10569280	Dusp8
10564909	Man2a2
10377439	Per1
10404376	Agtr1a
10409278	Nfil3
10569429	Cdkn1c
10553788	Atp10a
10604576	Gpc3
10506225	Cachd1
10573342	Mir23a
10490826	Zbtb10
10585428	Dnaja4
10471882	Olfml2a
10432652	Cela1
10480744	Lcn12
10524684	Msi1
10359161	Soat1
10385776	Tcf7
10505489	Pappa
10573198	Dnajb1
10428698	Sntb1
10361828	Cited2
10572800	Klf2
10503508	Ggh
10358894	Sord
10400089	Gm889
10560886	Cd177
10546510	Lrig1
10389505	Gm9975
10597758	Csrnp1
10503259	Trp53inp1
10543306	Tspan12
10467578	Pik3ap1
10547009	Vgll4
10377516	Kcnab3
10515981	Mir30e
10458645	Ppp2r2b
10389732	Gm15698
10394971	Klf11
10404380	Dusp22
10367772	Samd5
10460706	Syvn1
10405211	Gadd45g
10495625	Dpyd
10354207	Creg2
10517655	Pla2g5
10409282	Ror2
10405779	Mir23b
10487405	Prom2
10427045	9430023L20Rik
10588226	Amotl2
10495206	Slc16a4
10535904	Hsph1
10516520	Zfp362
10393620	Cbx4
10433057	Calcoco1
10383767	Osbp2
10586700	Rora
10584870	Tmprss13
10502823	Dnajb4
10472097	Fmnl2
10539111	Tmem150a
10368886	Foxo3
10371176	Nfic
10351961	Olfr417
10396270	Dact1
10421932	Pcdh9
10598771	Maoa
10376004	Gdf9
10545760	Paip2b
10596940	P4htm
10548905	Eps8
10522696	Arl9
10383982	Znrf3
10603208	Mid1
10569385	Ascl2
10353438	Tram2
10546238	Vmn1r48
10379342	Mir365-2
10448081	Rgmb
10418038	Zfp503
10385822	Gm10447
10380116	Rnf43
10549886	Zfp264
10344707	Pcmtd1

